;Address (CodedVal (Symbol
; Heater function configuration
0         9E        CHECKSUM
9B        7F        F_START_33
9C        CC        PERCENT_R_START_33
9D        47        P_LO_START_33
9E        FF        P_HI_START_33
9F        7C        GRAD_P_START_33
A0        42        T_START_34
A1        91        N_START_34
A2        7F        F_START_34
A3        CC        PERCENT_R_START_34
A4        47        P_LO_START_34
A5        FF        P_HI_START_34
A6        7C        GRAD_P_START_34
A7        14        T_START_3_PLS
A8        4D        N_START_3_PLS
A9        47        F_START_3_PLS
AA        CC        PERCENT_R_START_3_PLS
AB        00        not supported
AC        00        not supported
AD        00        not supported
AE        00        T_START_41
AF        7E        N_START_41
B0        7F        F_START_41
B1        CC        PERCENT_R_START_41
B2        47        P_LO_START_41
B3        FF        P_HI_START_41
B4        7C        GRAD_P_START_41
B5        00        not supported
B6        00        T_START_42
B7        84        N_START_42
B8        7F        F_START_42
B9        CC        PERCENT_R_START_42
BA        47        P_LO_START_42
BB        FF        P_HI_START_42
BC        7C        GRAD_P_START_42
BD        00        not supported
BE        00        T_START_43
BF        89        N_START_43
C0        7F        F_START_43
C1        CC        PERCENT_R_START_43
C2        47        P_LO_START_43
C3        FF        P_HI_START_43
C4        7C        GRAD_P_START_43
C5        00        not supported
C6        00        T_START_44
C7        91        N_START_44
C8        7F        F_START_44
C9        CC        PERCENT_R_START_44
CA        47        P_LO_START_44
CB        FF        P_HI_START_44
CC        7C        GRAD_P_START_44
CD        00        not supported
CE        00        T_START_4_PLS
CF        4D        N_START_4_PLS
D0        47        F_START_4_PLS
D1        CC        PERCENT_R_START_4_PLS
D2        00        not supported
D3        00        not supported
D4        00        not supported
D5        00        not supported
D6        14        T_START_51
D7        87        N_START_51
D8        7F        F_START_51
D9        CC        PERCENT_R_START_51
DA        00        not supported
DB        73        P_HI_START_51
DC        00        not supported
DD        00        not supported
DE        14        T_START_52
DF        8D        N_START_52
E0        7F        F_START_52
E1        CC        PERCENT_R_START_52
E2        00        not supported
E3        73        P_HI_START_52
E4        00        not supported
E5        00        not supported
E6        14        T_START_53
E7        93        N_START_53
E8        7F        F_START_53
E9        CC        PERCENT_R_START_53
EA        00        not supported
EB        73        P_HI_START_53
EC        00        not supported
ED        00        not supported
EE        14        T_START_54
EF        9B        N_START_54
F0        7F        F_START_54
F1        CC        PERCENT_R_START_54
F2        00        not supported
F3        73        P_HI_START_54
F4        00        not supported
F5        00        not supported
F6        14        T_START_5_PLS
F7        5D        N_START_5_PLS
F8        47        F_START_5_PLS
F9        CC        PERCENT_R_START_5_PLS
FA        00        not supported
FB        00        not supported
FC        00        not supported
FD        00        not supported
FE        32        T_START_61
FF        B1        N_START_61
100       7F        F_START_61
101       C8        PERCENT_R_START_61
102       73        P_HI_START_61
103       00        not supported
104       32        T_START_62
105       B1        N_START_62
106       7F        F_START_62
107       C8        PERCENT_R_START_62
108       73        P_HI_START_62
109       00        not supported
10A       32        T_START_63
10B       B1        N_START_63
10C       7F        F_START_63
10D       C8        PERCENT_R_START_63
10E       73        P_HI_START_63
10F       00        not supported
110       32        T_START_64
111       B1        N_START_64
112       7F        F_START_64
113       C8        PERCENT_R_START_64
114       73        P_HI_START_64
115       00        not supported
116       5A        T_START_6_PLS
117       79        N_START_6_PLS
118       47        F_START_6_PLS
119       C8        PERCENT_R_START_6_PLS
11A       00        not supported
11B       00        not supported
11C       14        T_GPR
11D       B1        N_GPR
11E       7F        F_GPR
11F       00        not supported
120       3C        T_FMM_1
121       B1        N_FMM_1
122       7F        F_FMM_1
123       22        PERCENT_R_LO_FMM_1
124       B4        PERCENT_R_HI_FMM_1
125       02        GRAD_R_FMM_1
126       00        not supported
127       14        T_FMM_2
128       B1        N_FMM_2
129       7F        F_FMM_2
12A       22        PERCENT_R_LO_FMM_2
12B       22        PERCENT_R_HI_FMM_2
12C       57        GRAD_R_FMM_2
12D       00        not supported
12E       14        T_GPR_PLS
12F       79        N_GPR_PLS
130       47        F_GPR_PLS
131       00        not supported
132       46        T_FMM_1_PLS
133       79        N_FMM_1_PLS
134       47        F_FMM_1_PLS
135       34        PERCENT_R_LO_FMM_1_PLS
136       B4        PERCENT_R_HI_FMM_1_PLS
137       02        GRAD_R_FMM_1_PLS
138       00        not supported
139       14        T_FMM_2_PLS
13A       79        N_FMM_2_PLS
13B       47        F_FMM_2_PLS
13C       34        PERCENT_R_LO_FMM_2_PLS
13D       34        PERCENT_R_HI_FMM_2_PLS
13E       57        GRAD_R_FMM_2_PLS
13F       00        not supported
140       00        not supported
141       66        TEMP_EGT_LO_FL_IOS
142       50        T_WARMSTART
143       79        N_FL_IOS
144       00        F_FL_IOS
145       56        PERCENT_R_FL_IOS
146       66        GRAD_R_FL_IOS
147       14        T_BO_1_FL
148       74        N_BO_1_FL
149       00        PERCENT_R_BO_1_FL
14A       14        T_BO_2_FL
14B       4D        N_BO_2_FL
14C       00        PERCENT_R_BO_2_FL
14D       1E        T_BO_3_FL
14E       3E        N_BO_3_FL
14F       00        PERCENT_R_BO_3_FL
150       28        T_BO_4_FL
151       8C        N_BO_4_FL
152       00        PERCENT_R_BO_4_FL
153       0A        T_BO_1_PL
154       57        N_BO_1_PL
155       00        PERCENT_R_BO_1_PL
156       0A        T_BO_2_PL
157       44        N_BO_2_PL
158       00        PERCENT_R_BO_2_PL
159       14        T_BO_3_PL
15A       2C        N_BO_3_PL
15B       00        PERCENT_R_BO_3_PL
15C       28        T_BO_4_PL
15D       8C        N_BO_4_PL
15E       00        PERCENT_R_BO_4_PL
15F       14        T_BO_1_S
160       74        N_BO_1_S
161       00        PERCENT_R_BO_1_S
162       14        T_BO_2_S
163       4D        N_BO_2_S
164       00        PERCENT_R_BO_2_S
165       32        T_BO_3_S
166       3E        N_BO_3_S
167       00        PERCENT_R_BO_3_S
168       28        T_BO_4_S
169       8C        N_BO_4_S
16A       00        PERCENT_R_BO_4_S
16B       0A        T_BO_1_PLS
16C       57        N_BO_1_PLS
16D       00        PERCENT_R_BO_1_PLS
16E       0E        T_BO_2_PLS
16F       44        N_BO_2_PLS
170       00        PERCENT_R_BO_2_PLS
171       1E        T_BO_3_PLS
172       2C        N_BO_3_PLS
173       00        PERCENT_R_BO_3_PLS
174       28        T_BO_4_PLS
175       8C        N_BO_4_PLS
176       00        PERCENT_R_BO_4_PLS
177       1E        T_BO_OVH
178       1E        N_BO_OVH
179       46        T_COOL_1
17A       8C        N_COOL_1
17B       5A        T_COOL_2
17C       8C        N_COOL_2
17D       5A        T_FMC
17E       28        N_FMC
17F       47        P_FMC
180       46        R_REF_SANITY_LO
181       AE        R_REF_SANITY_HI
182       B1        N_FL
183       7F        F_FL
184       22        PERCENT_R_FL
185       66        GRAD_R_FL
186       66        TEMP_EGT_LO_FL
187       C8        T_FL
188       02        T_BO_1_FL_IOS
189       30        T_BO_2_FL_IOS
18A       02        T_BO_3_FL_IOS
18B       08        T_BO_4_FL_IOS
18C       C8        N_BO_1_FL_IOS
18D       C8        N_BO_2_FL_IOS
18E       B4        N_BO_3_FL_IOS
18F       79        N_PL
190       47        F_PL
191       34        PERCENT_R_PL
192       70        GRAD_R_PL
193       66        TEMP_EGT_LO_PL
194       8C        N_BO_4_FL_IOS
195       00        PERCENT_R_BO_1_FL_IOS
196       00        PERCENT_R_BO_2_FL_IOS
197       00        PERCENT_R_BO_3_FL_IOS
198       00        PERCENT_R_BO_4_FL_IOS
199       02        NO_STARTS_WITH_R_REF
19A       02        NO_BURNOUTS_UNTIL_NEXT_R_REF_1
19B       14        NO_BURNOUTS_UNTIL_NEXT_R_REF_2
19C       0A        NO_R_REF_MEASUREMENTS_SWITCH_CYCLE_1_2
19D       19        GP_CONTROL_P
19E       16        GP_CONTROL_TN
19F       00        not supported
1A0       01        GP_CONTROL_TA
1A1       A0        GRAD_BREAK
1A2       69        GP_CONTROL_MAX_U
1A3       00        not supported
1A4       00        not supported
1A5       00        not supported
1A6       00        not supported
1A7       00        not supported
1A8       00        not supported
1A9       00        not supported
1AA       00        not supported
1AB       00        not supported
1AC       00        not supported
1AD       00        not supported
1AE       00        not supported
1AF       00        not supported
1B0       00        not supported
1B1       00        not supported
1B2       00        not supported
1B3       02        NO_FLAMEOUTS_MAX
1B4       06        NO_TEMPORARY_INTERLOCKS_MAX
1B5       00        not supported
1B6       00        not supported
1B7       00        not supported
1B8       1E        T_CPU_OFF
1B9       0A        No_Overheating_max
1BA       01        CORE_CFG_FLAGS_0
1BB       00        TEMP_EGT_LO_START_41
1BC       00        TEMP_EGT_LO_START_42
1BD       00        TEMP_EGT_LO_START_43
1BE       00        TEMP_EGT_LO_START_44
1BF       00        TEMP_EGT_LO_START_4_PLS
1C0       00        TEMP_EGT_LO_START_51
1C1       00        TEMP_EGT_LO_START_52
1C2       00        TEMP_EGT_LO_START_53
1C3       00        TEMP_EGT_LO_START_54
1C4       00        TEMP_EGT_LO_START_5_PLS
1C5       00        TEMP_EGT_LO_START_61
1C6       00        TEMP_EGT_LO_START_62
1C7       00        TEMP_EGT_LO_START_63
1C8       00        TEMP_EGT_LO_START_64
1C9       00        TEMP_EGT_LO_START_6_PLS
1CA       6C        TEMP_EGT_LO_GPR
1CB       78        TEMP_EGT_LO_FMM_1
1CC       78        TEMP_EGT_LO_FMM_2
1CD       6C        TEMP_EGT_LO_GPR_PLS
1CE       78        TEMP_EGT_LO_FMM_1_PLS
1CF       78        TEMP_EGT_LO_FMM_2_PLS
1D0       14        T_EGT_WAIT_PL
1D1       14        T_FMC_S_IOS
1D2       28        N_FMC_S_IOS
1D3       47        P_FMC_S_IOS
1D4       0C        T_START_1_IOS
1D5       4D        N_START_1_IOS
1D6       00        F_START_1_IOS
1D7       E4        PERCENT_R_START_1_IOS
1D8       02        T_START_2_IOS
1D9       4D        N_START_2_IOS
1DA       00        F_START_2_IOS
1DB       E4        PERCENT_R_START_2_IOS
1DC       00        P_LO_START_2_IOS
1DD       FF        P_HI_START_2_IOS
1DE       00        GRAD_P_START_2_IOS
1DF       26        T_START_3_IOS
1E0       4D        N_START_3_IOS
1E1       47        F_START_3_IOS
1E2       E4        PERCENT_R_START_3_IOS
1E3       00        P_LO_START_3_IOS
1E4       FF        P_HI_START_3_IOS
1E5       00        GRAD_P_START_3_IOS
1E6       00        T_START_4_IOS
1E7       79        N_START_4_IOS
1E8       47        F_START_4_IOS
1E9       E4        PERCENT_R_START_4_IOS
1EA       00        P_LO_START_4_IOS
1EB       FF        P_HI_START_4_IOS
1EC       00        GRAD_P_START_4_IOS
1ED       00        TEMP_EGT_LO_START_4_IOS
1EE       00        T_START_5_IOS
1EF       79        N_START_5_IOS
1F0       47        F_START_5_IOS
1F1       E4        PERCENT_R_START_5_IOS
1F2       73        P_HI_START_5_IOS
1F3       00        TEMP_EGT_LO_START_5_IOS
1F4       00        T_START_6_IOS
1F5       79        N_START_6_IOS
1F6       47        F_START_6_IOS
1F7       E4        PERCENT_R_START_6_IOS
1F8       73        P_HI_START_6_IOS
1F9       00        TEMP_EGT_LO_START_6_IOS
1FA       0A        T_GPR_IOS
1FB       79        N_GPR_IOS
1FC       47        F_GPR_IOS
1FD       6C        TEMP_EGT_LO_GPR_IOS
1FE       22        T_FMM_1_IOS
1FF       79        N_FMM_1_IOS
200       47        F_FMM_1_IOS
201       56        PERCENT_R_LO_FMM_1_IOS
202       B4        PERCENT_R_HI_FMM_1_IOS
203       02        GRAD_R_FMM_1_IOS
204       78        TEMP_EGT_LO_FMM_1_IOS
205       02        T_FMM_2_IOS
206       79        N_FMM_2_IOS
207       00        F_FMM_2_IOS
208       56        PERCENT_R_LO_FMM_2_IOS
209       2A        PERCENT_R_HI_FMM_2_IOS
20A       57        GRAD_R_FMM_2_IOS
20B       78        TEMP_EGT_LO_FMM_2_IOS
20C       8C        TEMP_IOS_MAX
20D       01        T_FL_IOS
20E       00        P_LO_START_2_PLS
20F       FF        P_HI_START_2_PLS
210       00        GRAD_P_START_2_PLS
211       0A        P_LO_START_3_PLS
212       FF        P_HI_START_3_PLS
213       00        GRAD_P_START_3_PLS
214       0A        P_LO_START_4_PLS
215       FF        P_HI_START_4_PLS
216       00        GRAD_P_START_4_PLS
217       73        P_HI_START_5_PLS
218       73        P_HI_START_6_PLS
219       08        T_RAMP_DN_1
21A       00        PERCENT_R_RAMP_DN_1
21B       22        PERCENT_R_RAMP_DN_1_THRE
21C       73        P_HI_RAMP_DN_1
21D       66        GRAD_R_RAMP_DN_1
21E       66        TEMP_EGT_LO_RAMP_DN
21F       14        T_RAMP_DN_2
220       B1        N_RAMP_DN_2
221       67        F_RAMP_DN_2
222       00        PERCENT_R_RAMP_DN_2
223       22        PERCENT_R_RAMP_DN_2_THRE
224       73        P_HI_RAMP_DN_2
225       66        GRAD_R_RAMP_DN_2
226       20        T_RAMP_DN_3
227       AD        N_RAMP_DN_3
228       50        F_RAMP_DN_3
229       00        PERCENT_R_RAMP_DN_3
22A       22        PERCENT_R_RAMP_DN_3_THRE
22B       73        P_HI_RAMP_DN_3
22C       66        GRAD_R_RAMP_DN_3
22D       14        T_RAMP_UP_1
22E       00        PERCENT_R_RAMP_UP_1
22F       34        PERCENT_R_RAMP_UP_1_THRE
230       73        P_HI_RAMP_UP_1
231       66        GRAD_R_RAMP_UP_1
232       66        TEMP_EGT_LO_RAMP_UP
233       14        T_RAMP_UP_2
234       7E        N_RAMP_UP_2
235       50        F_RAMP_UP_2
236       00        PERCENT_R_RAMP_UP_2
237       34        PERCENT_R_RAMP_UP_2_THRE
238       73        P_HI_RAMP_UP_2
239       66        GRAD_R_RAMP_UP_2
23A       14        T_RAMP_UP_3
23B       97        N_RAMP_UP_3
23C       66        F_RAMP_UP_3
23D       00        PERCENT_R_RAMP_UP_3
23E       34        PERCENT_R_RAMP_UP_3_THRE
23F       73        P_HI_RAMP_UP_3
240       66        GRAD_R_RAMP_UP_3
241       0A        T_COOL_1_IOS
242       50        T_COOL_2_IOS
243       8C        N_COOL_1_IOS
244       8C        N_COOL_2_IOS
245       09        ID_CU_01
246       03        ID_CU_23
247       33        ID_CU_45
248       18        ID_CU_67
249       41        ID_CU_CL1
24A       01        ID_CU_CL2
24B       09        ID_DS_01
24C       03        ID_DS_23
24D       33        ID_DS_45
24E       27        ID_DS_67
24F       41        ID_DS_CL1
250       01        ID_DS_CL2
251       00        not supported
252       00        not supported
253       00        not supported
254       00        not supported
255       00        not supported
256       00        not supported
257       00        not supported
258       00        not supported
259       00        not supported
25A       00        not supported
25B       00        not supported
25C       00        not supported
25D       00        not supported
25E       00        not supported
25F       00        not supported
260       00        not supported
261       E1        CONFIG_BYTE_1_DEFAULT
262       30        CONFIG_BYTE_2_DEFAULT
263       0C        CONFIG_BYTE_3_DEFAULT
264       00        CONFIG_BYTE_4_DEFAULT
265       6E        TEMP_START_FROM_PAUSE_APPL
266       80        TEMP_BURNOUT_TO_PAUSE_APPL
267       7A        TEMP_RAMP_DN_APPL
268       69        TEMP_RAMP_UP_APPL
269       64        TEMP_PLS_LO
26A       6C        TEMP_CV_PULSING_LO
26B       6E        TEMP_CV_PULSING_HI
26C       78        CCTC_TEMP_TARGET_PH
26D       78        CCTC_TEMP_TARGET_AH
26E       0A        T_DELAY_CV_OPEN
26F       06        T_DELAY_CP_ON
270       2D        TEMP_CPC_LO
271       50        TEMP_CPC_1
272       5A        TEMP_CPC_2
273       6E        TEMP_CPC_HI
274       64        TEMP_CPC_SUPPRESS
275       50        U_EFF_CPC_1
276       51        U_EFF_CPC_LO
277       05        GRAD_CPC_UP_DOWN
278       00        unused
279       74        TEMP_START_FROM_PAUSE_AH
27A       72        TEMP_RAMP_UP_AH
27B       7C        TEMP_RAMP_DN_AH
27C       80        TEMP_BURNOUT_TO_PAUSE_AH
27D       5A        TEMP_VF_ON
27E       C4        TEMP_EGT_MAX
27F       64        CV_PULSING_LO_OPEN
280       C8        CV_PULSING_LO_CLOSED
281       C8        CV_PULSING_HI_OPEN
282       64        CV_PULSING_HI_CLOSED
283       54        T_CPC_WAIT_LO
284       1E        TEMP_CPC_WAIT_HI
285       03        U_DPSTART_OFFSET
286       05        U_DP_OFFSET
287       0A        CCTC_TEMP_DIFF_START_FROM_PAUSE
288       0A        CCTC_TEMP_DIFF_BURNOUT_TO_PAUSE
289       0F        CCTC_TEMP_DIFF_RAMP_UP
28A       00        not supported
28B       00        not supported
28C       00        not supported
28D       00        not supported
28E       00        not supported
28F       00        not supported
290       00        not supported
291       00        not supported
292       00        not supported
293       00        not supported
294       00        not supported
295       00        not supported
296       00        not supported
297       00        not supported
298       00        not supported
299       00        not supported
29A       00        not supported
29B       00        not supported
29C       00        not supported
29D       00        not supported
29E       00        not supported
29F       00        not supported
2A0       00        not supported
2A1       00        not supported
2A2       00        not supported
2A3       00        not supported
2A4       00        not supported
2A5       00        not supported
2A6       00        not supported
2A7       00        not supported
2A8       00        not supported
2A9       00        not supported
2AA       00        not supported
2AB       00        not supported
2AC       00        not supported
2AD       00        not supported
2AE       11        DATASET_IDENTIFIER_LOW
2AF       00        DATASET_IDENTIFIER_HIGH
; Run-time data
2B0       00        not supported
2B1       00        not supported
2B2       00        not supported
2B3       00        not supported
2B4       00        not supported
2B5       00        not supported
2B6       00        not supported
2B7       00        not supported
2B8       00        not supported
2B9       00        not supported
2BA       00        not supported
2BB       00        not supported
2BC       00        not supported
2BD       00        not supported
2BE       00        not supported
2BF       00        not supported
2C0       00        not supported
2C1       00        not supported
2C2       00        not supported
2C3       00        not supported
2C4       00        not supported
2C5       00        not supported
2C6       00        not supported
2C7       00        not supported
2C8       00        not supported
2C9       00        not supported
2CA       00        not supported
2CB       00        not supported
2CC       00        not supported
2CD       00        not supported
2CE       00        not supported
2CF       00        not supported
2D0       00        not supported
2D1       00        not supported
2D2       00        not supported
2D3       00        not supported
2D4       00        not supported
2D5       00        not supported
2D6       00        not supported
2D7       00        not supported
2D8       00        not supported
2D9       00        not supported
2DA       00        not supported
2DB       00        not supported
2DC       00        not supported
2DD       00        not supported
2DE       00        not supported
2DF       00        not supported
2E0       00        not supported
2E1       00        not supported
2E2       00        not supported
2E3       00        not supported
2E4       00        not supported
2E5       00        not supported
2E6       00        not supported
2E7       00        not supported
2E8       00        not supported
2E9       00        not supported
2EA       00        not supported
2EB       00        not supported
2EC       00        not supported
2ED       00        not supported
2EE       00        not supported
2EF       00        not supported
2F0       00        not supported
2F1       00        not supported
2F2       00        not supported
2F3       00        not supported
2F4       00        not supported
2F5       00        not supported
2F6       00        not supported
2F7       00        not supported
2F8       00        not supported
2F9       00        not supported
2FA       00        not supported
2FB       00        not supported
2FC       00        not supported
2FD       00        not supported
2FE       00        not supported
2FF       00        not supported
300       00        not supported
301       00        not supported
302       00        not supported
303       00        not supported
304       00        not supported
305       00        not supported
306       00        not supported
307       3E        MQB_ADJUST_GLOBAL_FIX
308       03        MQB_MOT_RPM_T_QUALIFY
309       3C        MQB_MOT_RPM_MIN_RUNNING
30A       1E        MQB_MOT_RPM_MAX_OFF
30B       01        MQB_FUEL_TYPE_HEATER
30C       00        MQB_E85_THRESHOLD_FOR_DP_CORR
30D       64        MQB_E85_LEVEL_MAX
30E       0A        MQB_CV_COUNT_ANTICLOG_ACTIVATION
30F       0A        MQB_CV_DURATION_ANTICLOG_ACTIVATION
310       00        not supported
311       41        MQB_CP_T_MAX_RESTWAERMEBETRIEB
312       64        MQB_CP_DC_THERMOMGMT_LEVEL1
313       50        MQB_CP_DC_THERMOMGMT_LEVEL2
314       32        MQB_CP_T_HANDSHAKE_CAN
315       69        MQB_LV_THRESHOLD_OP_BEM
316       00        not supported
317       01        MQB_MOTWARM_MIN_H
318       2C        MQB_MOTWARM_MIN_L
319       3C        MQB_MOTWARM_MAX
31A       3C        MQB_MOTWARM_K_BRENNBETRIEB
31B       00        not supported
31C       00        not supported
31D       1E        MQB_T_RESET_SIG_COOLANT_WARM
31E       1E        MQB_T_CW_WARM_MAX
31F       28        MQB_CP_T_PWM_WAIT_MAX
320       28        MQB_CP_TEMP_PWM_WAIT_MAX
321       05        MQB_CP_RAMP_DOWN
322       00        MQB_SH_OFF_MOTOR_OFF
323       64        MQB_THRESHOLD_SIGNAL_STATUS_ON
324       00        MQB_RTP_COUNTER_KL15_NEGEDGE
325       42        MQB_APP_RUNTIME_MAX
326       06        MQB_AT_SPEED_MAX
327       06        MQB_AT_DIFF_MAX
328       8C        MQB_CP_DC_MAX
329       3C        MQB_VF_T_WAIT_MAX
32A       1E        MQB_VF_TEMP_WAIT_MAX
32B       00        not supported
32C       00        not supported
32D       00        not supported
32E       00        not supported
32F       00        not supported
330       00        not supported
331       00        not supported
332       00        not supported
333       00        not supported
334       00        not supported
335       00        not supported
336       00        not supported
337       00        not supported
338       00        not supported
339       00        not supported
33A       00        not supported
33B       00        not supported
33C       00        not supported
33D       00        not supported
33E       00        not supported
33F       00        not supported
340       00        not supported
341       00        not supported
342       00        not supported
343       00        not supported
344       00        not supported
345       00        not supported
346       00        not supported
347       00        not supported
348       00        not supported
349       00        not supported
34A       00        not supported
34B       00        not supported
34C       00        not supported
34D       00        not supported
34E       00        not supported
34F       35        MQB_SPARE_PART_NUMBER_00
350       51        MQB_SPARE_PART_NUMBER_01
351       30        MQB_SPARE_PART_NUMBER_02
352       39        MQB_SPARE_PART_NUMBER_03
353       36        MQB_SPARE_PART_NUMBER_04
354       33        MQB_SPARE_PART_NUMBER_05
355       32        MQB_SPARE_PART_NUMBER_06
356       37        MQB_SPARE_PART_NUMBER_07
357       32        MQB_SPARE_PART_NUMBER_08
358       48        MQB_SPARE_PART_NUMBER_09
359       20        MQB_SPARE_PART_NUMBER_10
35A       30        MQB_LOG_SW_BLOCK_NUMBER_DATASET_00
35B       30        MQB_LOG_SW_BLOCK_NUMBER_DATASET_01
35C       37        MQB_LOG_SW_BLOCK_NUMBER_DATASET_02
35D       35        MQB_LOG_SW_BLOCK_NUMBER_DATASET_03
35E       53        MQB_SYSTEM_NAME_00
35F       54        MQB_SYSTEM_NAME_01
360       48        MQB_SYSTEM_NAME_02
361       2D        MQB_SYSTEM_NAME_03
362       4D        MQB_SYSTEM_NAME_04
363       51        MQB_SYSTEM_NAME_05
364       42        MQB_SYSTEM_NAME_06
365       20        MQB_SYSTEM_NAME_07
366       20        MQB_SYSTEM_NAME_08
367       20        MQB_SYSTEM_NAME_09
368       20        MQB_SYSTEM_NAME_10
369       20        MQB_SYSTEM_NAME_11
36A       20        MQB_SYSTEM_NAME_12
36B       00        not supported
36C       00        not supported
36D       00        not supported
36E       00        not supported
36F       00        not supported
370       00        not supported
371       00        not supported
372       00        not supported
373       00        not supported
374       00        not supported
375       00        not supported
376       00        not supported
377       00        not supported
378       00        not supported
379       00        not supported
37A       00        not supported
37B       00        not supported
37C       00        not supported
37D       00        not supported
37E       00        not supported
37F       00        not supported
380       00        not supported
381       00        not supported
382       00        not supported
383       00        not supported
384       00        not supported
385       00        not supported
386       00        not supported
387       00        not supported
388       00        not supported
389       00        not supported
38A       00        not supported
38B       00        not supported
38C       00        not supported
38D       00        not supported
38E       00        not supported
